id_question,semester,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,,,,,,
11,2022-1,0.56,0.89,0.67,1.00,0.89,0.67,0.67,0.89,0.78,0.78,1.00,0.67,0.78,0.78,0.78,0.78,0.67,0.56,0.78,0.78,0.78,0.89,0.89,0.78,0.67,0.89,0.78,0.56,0.78,1.00,0.56,0.78,0.78,0.89,0.67,0.67,0.67,0.78,0.78,0.67,,,,,,,,,,,
11,2022-2,0.67,0.90,1.00,0.90,0.90,0.90,0.67,0.80,0.67,0.90,0.80,0.80,0.80,0.67,0.80,0.80,0.90,0.67,0.90,0.80,0.80,0.80,0.80,0.80,0.90,0.57,0.80,1.00,0.80,0.90,0.90,0.67,1.00,0.90,0.90,0.80,0.80,0.90,0.90,0.80,,,,,,,,,,,
12,2019-2,1.00,0.75,0.25,0.75,1.00,1.00,1.00,1.00,1.00,0.75,1.00,0.75,0.75,0.50,0.75,1.00,0.75,0.75,1.00,1.00,1.00,1.00,0.75,0.50,0.75,1.00,1.00,0.75,0.75,0.25,1.00,0.75,0.75,0.75,1.00,1.00,,,,,,,,,,,,,,,
12,2022-1,1.00,0.50,1.00,1.00,1.00,0.75,0.50,1.00,1.00,0.50,1.00,0.50,0.50,0.75,0.50,0.75,0.50,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022-2,0.75,1.00,0.75,1.00,1.00,0.50,1.20,0.50,0.50,0.50,0.50,0.75,1.00,0.75,0.75,1.00,1.00,0.75,0.00,0.75,1.00,0.50,0.75,0.75,0.50,1.00,1.00,0.50,0.50,0.50,0.75,1.00,1.00,0.75,0.50,0.50,0.50,0.75,1.00,0.50,,,,,,,,,,,
12,2023-2,1.00,1.00,0.75,0.75,1.00,1.00,0.50,0.75,1.00,0.75,1.00,1.00,0.75,0.75,0.75,0.25,1.00,1.00,0.50,1.00,0.75,1.00,0.50,0.75,1.00,1.00,0.75,0.75,0.50,1.00,1.00,0.75,0.75,1.00,1.00,1.00,0.75,0.75,1.00,1.00,,,,,,,,,,,
13,2019-2,0.88,0.44,0.50,0.88,0.94,0.75,0.94,0.88,0.13,0.81,0.38,0.63,0.44,0.75,0.63,0.94,0.13,1.00,0.50,0.38,0.81,0.31,0.88,0.69,0.88,0.38,1.00,0.69,0.75,0.75,0.75,0.75,0.38,0.94,0.75,0.38,,,,,,,,,,,,,,,
13,2023-2,0.63,1.00,0.81,0.94,0.88,0.88,0.75,0.38,0.94,0.69,1.00,0.50,0.88,0.69,0.88,0.44,0.88,0.94,0.44,0.88,0.88,1.00,0.50,0.81,0.94,0.75,0.75,1.00,0.75,0.88,0.75,0.88,0.94,0.75,0.94,0.63,0.94,0.75,1.00,0.94,,,,,,,,,,,
14,2019-1,0.75,0.50,0.25,0.50,1.00,0.25,1.00,0.50,0.75,0.75,0.00,0.50,0.50,0.25,0.50,0.50,0.50,0.50,0.50,0.75,0.00,0.50,0.00,0.00,0.00,0.75,0.75,0.75,0.75,1.00,0.75,0.00,0.75,0.75,0.25,,,,,,,,,,,,,,,,
14,2022-2,0.42,0.67,0.58,0.42,0.42,0.17,0.83,0.42,0.42,0.58,0.17,0.67,0.17,0.17,0.17,0.42,0.42,0.17,0.67,0.17,0.58,0.58,0.58,0.75,0.00,0.33,0.58,0.17,0.50,0.17,0.17,0.75,0.75,0.58,0.17,0.42,0.00,0.42,0.42,0.33,,,,,,,,,,,
